'1', 'statDate', '日期', '1', '1', '1'
'2', 'searchEngine', '搜索引擎', '1', '1', '2'
'3', 'product', '产品名称', '1', '1', '3'
'4', 'account', '账户名称', '1', '1', '4'
'5', 'campaign', '推广计划', '1', '1', '5'
'6', 'adGroup', '推广单元', '1', '1', '6'
'7', 'keywordLinkUrl', '着陆页', '1', '1', '7'
'8', 'keyword', '关键词', '1', '1', '8'
'9', 'impressions', '展现量', '2', '2', '1'
'10', 'clicks', '点击量', '2', '2', '2'
'11', 'clicks/impressions', '点击率', '2', '2', '3'
'12', 'cost', '消费', '2', '2', '4'
'13', 'cost/clicks', '平均点击价格', '2', '2', '5'
'14', 'avg(avgPosition)', '平均排名', '2', '2', '6'
'15', 'goalValueAll', '订单金额', '2', '2', '7'
'16', 'bounces', '跳出数', '3', '2', '1'
'17', 'exits', '退出数', '3', '2', '2'
'18', 'visits', '访问数', '3', '2', '3'
'19', 'timeOnSite/visits', '平均访问时长', '3', '2', '4'
'20', 'timeOnSite', '网站停留时间', '3', '2', '5'
'21', 'bounces/visits', '跳出率', '3', '2', '6'
'22', 'newVisits', '新访问数', '3', '0', '7'
'23', 'pageViews', '页面浏览量', '3', '2', '8'
'24', 'websitedata1', '网站自定义数据1', '3', '2', '9'
'25', 'websitedata2', '网站自定义数据2', '3', '2', '10'
'28', 'costPerConversion', '转化成本', '4', '0', NULL
'29', 'roiRate', 'ROI', '4', '0', NULL
'30', 'revenue', '收入', '4', '0', NULL
'31', 'transactionRevenue', '交易收入', '4', '0', NULL
'32', 'goal1Completions', 'GA转化目标1', '4', '0', NULL
'33', 'goal2Completions', 'GA转化目标2', '4', '0', NULL
'34', 'goal3Completions', 'GA转化目标3', '4', '0', NULL
'35', 'goal4Completions', 'GA转化目标4', '4', '0', NULL
'36', 'goal5Completions', 'GA转化目标5', '4', '0', NULL
'37', 'goal6Completions', 'GA转化目标6', '4', '0', NULL
'38', 'goal7Completions', 'GA转化目标7', '4', '0', NULL
'39', 'goal8Completions', 'GA转化目标8', '4', '0', NULL
'40', 'goal9Completions', 'GA转化目标9', '4', '0', NULL
'41', 'goal10Completions', 'GA转化目标10', '4', '0', NULL
'42', 'goal11Completions', 'GA转化目标11', '4', '0', NULL
'43', 'goal12Completions', 'GA转化目标12', '4', '0', NULL
'44', 'goal13Completions', 'GA转化目标13', '4', '0', NULL
'45', 'goal14Completions', 'GA转化目标14', '4', '0', NULL
'46', 'goal15Completions', 'GA转化目标15', '4', '0', NULL
'47', 'goal16Completions', 'GA转化目标16', '4', '0', NULL
'48', 'goal17Completions', 'GA转化目标17', '4', '0', NULL
'49', 'goal18Completions', 'GA转化目标18', '4', '0', NULL
'50', 'goal19Completions', 'GA转化目标19', '4', '0', NULL
'51', 'goal20Completions', 'GA转化目标20', '4', '0', NULL
'56', 'user1Completions', '自定义数据1', '4', '0', '1'
'57', 'user2Completions', '自定义数据2', '4', '0', '1'
'58', 'user3Completions', '自定义数据3', '4', '0', '1'
'59', 'user4Completions', '自定义数据4', '4', '0', NULL
'60', 'user5Completions', '自定义数据5', '4', '0', NULL
'61', 'user6Completions', '自定义数据6', '4', '0', NULL
'62', 'user7Completions', '自定义数据7', '4', '0', NULL
'63', 'user8Completions', '自定义数据8', '4', '0', NULL
'64', 'user9Completions', '自定义数据9', '4', '0', NULL
'65', 'user10Completions', '自定义数据10', '4', '0', NULL
'66', 'user11Completions', '自定义数据11', '4', '0', NULL
'67', 'user12Completions', '自定义数据12', '4', '0', NULL
'68', 'user13Completions', '自定义数据13', '4', '0', NULL
'69', 'user14Completions', '自定义数据14', '4', '0', NULL
